,PM25,PM10,O3,CO,NO2,SO2,WS,TEMP,RH,WD
369,17.9,36.0,47.0,0.41,8.0,0.0,2,30,69,9
370,20.6,42.0,55.0,0.36,6.0,0.0,2,30,66,56
371,23.7,48.0,55.0,0.38,4.0,0.34,2,31,60,69
372,18.7,38.0,46.0,0.3,7.11,1.0,1,29,75,75
373,20.8,41.0,16.56,0.25,5.0,0.0,2,29,73,62
374,20.6,42.0,39.0,0.32,8.0,1.0,2,29,70,26
375,19.7,38.0,37.0,0.32,4.0,1.0,2,29,76,345
376,19.1,39.0,32.0,0.34,7.0,1.0,2,29,75,348
377,17.8,37.0,28.0,0.48,12.0,0.0,1,29,75,22
378,15.4,33.0,22.0,0.56,17.0,0.0,1,28,78,23
379,17.1,37.0,19.0,0.61,16.0,0.0,1,27,83,2
380,18.1,40.0,13.0,0.59,15.0,0.0,0,27,86,330
381,19.6,43.0,15.0,0.54,15.0,0.0,1,27,85,354
382,18.8,43.0,17.0,0.47,10.0,0.0,0,27,85,3
383,23.2,53.0,11.0,0.49,8.0,0.0,0,26,89,191
384,20.6,45.0,27.0,0.35,4.0,0.0,0,26,89,143
385,14.9,32.0,35.0,0.27,1.0,1.0,1,24,90,150
386,14.9,33.0,26.0,0.28,2.0,1.0,1,24,93,298
387,16.0,35.0,21.0,0.34,4.0,1.0,1,24,94,290
388,17.2,39.0,14.0,0.47,8.0,1.0,0,24,94,303
389,17.9,41.0,10.0,0.46,6.0,1.0,0,24,95,241
390,16.7,38.0,6.0,0.59,10.0,1.0,0,24,96,286
391,18.1,41.0,4.0,0.85,16.0,1.0,0,25,94,253
392,21.1,47.0,13.0,0.57,14.0,1.0,0,28,80,185
393,20.0,42.0,24.0,0.26,7.0,0.0,1,30,68,132
394,16.8,33.0,29.0,0.38,5.0,0.34,1,31,63,129
395,16.5,32.0,33.0,0.22,7.11,1.0,1,31,60,131
396,12.4,23.0,16.56,0.22,4.0,1.0,1,32,58,122
397,20.0,40.0,34.0,0.25,4.0,1.0,1,32,59,97
398,15.0,29.0,31.0,0.25,4.0,1.0,1,32,60,125
399,14.3,28.0,31.0,0.31,10.0,1.0,1,32,57,110
400,19.0,38.0,29.0,0.37,15.0,1.0,1,32,60,95
401,23.1,49.0,30.0,0.35,8.0,1.0,1,30,68,123
402,23.3,52.0,24.0,0.43,11.0,1.0,1,28,77,64
403,22.2,50.0,21.0,0.44,12.0,1.0,0,27,89,56
404,20.8,48.0,15.0,0.47,12.0,1.0,0,26,98,171
